(570,639)
(568,716)
(566,793)
(566,870)
(566,946)
(566,1021)
(566,1095)
(567,1167)
(569,1240)
(648,643)
(645,719)
(645,796)
(646,873)
(645,950)
(645,1025)
(647,1098)
(648,1170)
(649,1242)
(727,645)
(726,722)
(726,798)
(725,876)
(726,953)
(725,1029)
(726,1102)
(728,1174)
(730,1247)
(808,648)
(807,723)
(807,802)
(807,879)
(807,957)
(807,1032)
(808,1106)
(809,1178)
(811,1249)
(887,651)
(887,728)
(888,806)
(889,883)
(888,960)
(889,1035)
(889,1109)
(889,1180)
(893,1252)
(967,655)
(969,731)
(970,809)
(970,886)
(970,964)
(970,1038)
(971,1112)
(971,1183)
(972,1255)
(1050,659)
(1050,735)
(1051,813)
(1051,890)
(1051,967)
(1052,1041)
(1053,1114)
(1053,1186)
(1054,1258)
(1131,663)
(1131,739)
(1132,817)
(1132,894)
(1133,971)
(1134,1044)
(1134,1118)
(1136,1189)
(1136,1260)
(1212,667)
(1213,743)
(1212,820)
(1214,898)
(1214,974)
(1215,1048)
(1216,1121)
(1217,1192)
(1219,1263)
(1294,671)
(1295,747)
(1294,824)
(1295,901)
(1295,978)
(1298,1052)
(1298,1125)
(1299,1196)
(1301,1267)
(1375,674)
(1376,750)
(1376,828)
(1376,905)
(1377,981)
(1378,1055)
(1379,1129)
(1382,1199)
(1383,1270)
(1458,678)
(1457,754)
(1458,830)
(1458,907)
(1459,984)
(1459,1059)
(1461,1132)
(1463,1203)
(1466,1274)
(1540,681)
(1539,758)
(1540,834)
(1540,911)
(1540,989)
(1542,1064)
(1544,1137)
(1545,1208)
(1547,1278)
(1622,685)
(1623,760)
(1622,837)
(1622,915)
(1623,993)
(1624,1068)
(1626,1141)
(1629,1212)
(1631,1283)
(1705,687)
(1704,764)
(1703,841)
(1703,919)
(1705,997)
(1706,1072)
(1708,1145)
(1710,1216)
(1713,1288)
(1786,690)
(1784,767)
(1785,844)
(1786,923)
(1787,1001)
(1788,1077)
(1789,1150)
(1792,1221)
(1794,1294)
(1865,693)
(1866,770)
(1865,847)
(1866,927)
(1867,1006)
(1870,1081)
(1872,1155)
(1874,1227)
(1877,1298)
(1946,696)
(1945,772)
(1946,851)
(1945,931)
(1948,1009)
(1950,1086)
(1951,1160)
(1953,1232)
(1956,1304)
(2025,700)
(2025,776)
(2026,854)
(2026,935)
(2027,1014)
(2028,1092)
(2029,1166)
(2033,1237)
(2036,1309)
(2106,703)
(2106,780)
(2105,858)
(2107,939)
(2108,1019)
(2110,1096)
(2111,1170)
(2112,1242)
(2113,1314)
(2182,708)
(2184,784)
(2185,862)
(2187,944)
(2188,1023)
(2188,1100)
(2189,1174)
(2190,1246)
(2192,1317)
